,.id,synsetOffset,lexFilenum,lexFileName,pos,posName,wCnt,words,pCnt,pointers,frames,gloss
78,adj,00003700,00,all adjective clusters,s,Adjective Sattellite,1,dissilient 0,2,& 00003356 a 0000 + 07434782 n 0101,NA,bursting open with force, as do some ripe seed vessels  
79,adj,00003829,00,all adjective clusters,s,Adjective Sattellite,1,parturient 0,2,& 00003356 a 0000 + 14048441 n 0101,NA,giving birth; "a parturient heifer"  
80,adj,00004171,00,all adjective clusters,s,Adjective Sattellite,1,moribund 0,1,& 00003939 a 0000,NA,being on the point of death; breathing your last; "a moribund patient"  
81,adj,00004296,00,all adjective clusters,s,Adjective Sattellite,1,last 0,1,& 00003939 a 0000,NA,occurring at the time of death; "his last words"; "the last rites"  
82,adj,00004615,00,all adjective clusters,s,Adjective Sattellite,2,cut 0 shortened 0,1,& 00004413 a 0000,NA,with parts removed; "the drastically cut film"  
83,adj,00004723,00,all adjective clusters,s,Adjective Sattellite,1,half-length 0,1,& 00004413 a 0000,NA,abridged to half its original length  
84,adj,00004817,00,all adjective clusters,s,Adjective Sattellite,1,potted 0,3,& 00004413 a 0000 ;r 08860123 n 0000 ;u 07075172 n 0000,NA,(British informal) summarized or abridged; "a potted version of a novel"  
85,adj,00005107,00,all adjective clusters,s,Adjective Sattellite,2,full-length 0 uncut 0,1,& 00004980 a 0000,NA,complete; "the full-length play"  
86,adj,00005473,00,all adjective clusters,s,Adjective Sattellite,1,direct 0,1,& 00005205 a 0000,NA,lacking compromising or mitigating elements; exact; "the direct opposite"  
87,adj,00005599,00,all adjective clusters,s,Adjective Sattellite,2,implicit 0 unquestioning 0,1,& 00005205 a 0000,NA,being without doubt or reserve; "implicit trust"  
88,adj,00005718,00,all adjective clusters,s,Adjective Sattellite,1,infinite 0,2,& 00005205 a 0000 + 05209324 n 0101,NA,total and all-embracing; "God's infinite wisdom"  
89,adj,00005839,00,all adjective clusters,s,Adjective Sattellite,1,living 0,2,& 00005205 a 0000 ;u 06321054 n 0000,NA,(informal) absolute; "she is a living doll"; "scared the living daylights out of them"; "beat the living hell out of him"  
90,adj,00006245,00,all adjective clusters,s,Adjective Sattellite,1,relational 0,1,& 00006032 a 0000,NA,having a relation or being related  
91,adj,00006777,00,all adjective clusters,s,Adjective Sattellite,2,absorbefacient 0 sorbefacient 0,1,& 00006336 a 0000,NA,inducing or promoting absorption  
92,adj,00006885,00,all adjective clusters,s,Adjective Sattellite,3,assimilating 0 assimilative 0 assimilatory 0,3,& 00006336 a 0000 + 01540042 v 0301 + 01540042 v 0201,NA,capable of taking (gas, light, or liquids) into a solution; "an assimilative substance  
93,adj,00007096,00,all adjective clusters,s,Adjective Sattellite,1,hygroscopic 0,2,& 00006336 a 0000 + 03554645 n 0101,NA,absorbing moisture (as from the air)  
94,adj,00007208,00,all adjective clusters,s,Adjective Sattellite,1,receptive 0,1,& 00006336 a 0000,NA,able to absorb liquid (not repellent); "the paper is ink-receptive"  
95,adj,00007331,00,all adjective clusters,s,Adjective Sattellite,1,shock-absorbent 0,1,& 00006336 a 0000,NA,having the capacity to absorb the energy of an impact; "the material absorbs shock and is used for shock-absorbent insoles"  
96,adj,00007516,00,all adjective clusters,s,Adjective Sattellite,2,spongy 0 spongelike 0,3,& 00006336 a 0000 + 14597758 n 0101 + 04940379 n 0101,NA,like a sponge in being able to absorb liquids and yield it back when compressed  
97,adj,00007697,00,all adjective clusters,s,Adjective Sattellite,1,thirsty 0,1,& 00006336 a 0000,NA,able to take in large quantities of moisture; "thirsty towels"  
98,adj,00007990,00,all adjective clusters,s,Adjective Sattellite,2,repellent 0 resistant 0,3,& 00007813 a 0000 + 01115916 v 0201 + 05196054 n 0101,NA,incapable of absorbing or mixing with; "a water-repellent fabric"; "plastic highly resistant to steam and water"  
99,adj,00008443,00,all adjective clusters,s,Adjective Sattellite,2,chemisorptive 0 chemosorptive 0,1,& 00008206 a 0000,NA,having the capacity to adsorb by chemical as contrasted with physical forces  
